pstate,precision_mode,lane_mask_pct,sparsity_mode,sparsity_scale_milli,util_pct,freq_MHz,volt_mV,dyn_mW,leak_mW,power_mW,tops_milli,eff_milli
3,0,50,1,750,80,1000,750,1372,190,1562,76,0
3,0,50,1,750,100,1000,750,1748,190,1938,96,0
3,0,50,2,500,40,1000,750,592,190,752,24,0
3,0,50,2,500,60,1000,750,997,190,1187,38,0
3,0,50,2,500,80,1000,750,1372,190,1562,50,0
3,0,50,2,500,100,1000,750,1748,190,1938,64,0
3,1,100,0,1000,40,1000,750,592,190,752,102,0
3,1,100,0,1000,60,1000,750,997,190,1187,152,0
3,1,100,0,1000,80,1000,750,1372,190,1562,204,0
3,1,100,0,1000,100,1000,750,1748,190,1938,256,0
3,1,100,1,750,40,1000,750,592,190,752,76,0
3,1,100,1,750,60,1000,750,997,190,1187,114,0
3,1,100,1,750,80,1000,750,1372,190,1562,152,0
3,1,100,1,750,100,1000,750,1748,190,1938,192,0
3,1,100,2,500,40,1000,750,592,190,752,50,0
3,1,100,2,500,60,1000,750,997,190,1187,76,0
3,1,100,2,500,80,1000,750,1372,190,1562,102,0
3,1,100,2,500,100,1000,750,1748,190,1938,128,0
3,1,75,0,1000,40,1000,750,592,190,752,76,0
3,1,75,0,1000,60,1000,750,997,190,1187,114,0
3,1,75,0,1000,80,1000,750,1372,190,1562,152,0
3,1,75,0,1000,100,1000,750,1748,190,1938,192,0
3,1,75,1,750,40,1000,750,592,190,752,56,0
3,1,75,1,750,60,1000,750,997,190,1187,84,0
3,1,75,1,750,80,1000,750,1372,190,1562,114,0
3,1,75,1,750,100,1000,750,1748,190,1938,144,0
3,1,75,2,500,40,1000,750,592,190,752,38,0
3,1,75,2,500,60,1000,750,997,190,1187,56,0
3,1,75,2,500,80,1000,750,1372,190,1562,76,0
3,1,75,2,500,100,1000,750,1748,190,1938,96,0
3,1,50,0,1000,40,1000,750,592,190,752,50,0
3,1,50,0,1000,60,1000,750,997,190,1187,76,0
3,1,50,0,1000,80,1000,750,1372,190,1562,102,0
3,1,50,0,1000,100,1000,750,1748,190,1938,128,0
3,1,50,1,750,40,1000,750,592,190,752,36,0
3,1,50,1,750,60,1000,750,997,190,1187,56,0
3,1,50,1,750,80,1000,750,1372,190,1562,76,0
3,1,50,1,750,100,1000,750,1748,190,1938,96,0
3,1,50,2,500,40,1000,750,592,190,752,24,0
